Event.Id,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Abbreviation,Sum_Total_Injuries,Safety_Score,US_State
20030207X00177,Accident,2003-01-26,"EVERGLADES CITY, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,182R,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20030407X00444,Accident,2003-03-27,"JAY, FL",United States,Non-Fatal,Substantial,Airplane,Maule,M-5-235C,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20030408X00458,Accident,2003-03-31,"LAKELAND, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,190,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,FL,0.0,0.0,Florida
20030410X00474,Accident,2003-04-01,"LAKELAND, FL",United States,Non-Fatal,Substantial,Airplane,Mathews,Pegazai,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,FL,1.0,1.0,Florida
20030407X00447,Accident,2003-04-04,"LAKELAND, FL",United States,Non-Fatal,Substantial,Airplane,Boeing,A75N1,1.0,Reciprocating,Air Race/show,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20030605X00785,Accident,2003-05-27,"PLANT CITY, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,120,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,FL,1.0,1.0,Florida
20030813X01320,Accident,2003-06-14,"BUNNELL, FL",United States,Non-Fatal,Substantial,Airplane,Kolb company,MKIII,1.0,Reciprocating,Flight Test,0.0,0.0,1.0,1.0,VMC,FL,1.0,1.0,Florida
20030625X00951,Accident,2003-06-17,"Deerfield Beach, FL",United States,Fatal,Destroyed,Airplane,Cessna,182Q,1.0,Reciprocating,Personal,5.0,0.0,0.0,1.0,VMC,FL,5.0,30.0,Florida
20030625X00951,Accident,2003-06-17,"Deerfield Beach, FL",United States,Fatal,Destroyed,Airplane,Cessna,172N,1.0,Reciprocating,Personal,5.0,0.0,0.0,1.0,VMC,FL,5.0,30.0,Florida
20030707X01026,Accident,2003-06-18,"MELBOURNE, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20030911X01515,Accident,2003-07-25,"CRYSTAL RIVER, FL",United States,Non-Fatal,Substantial,Airplane,Aircraft mfg & dev. co. (amd),CH2T,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
